time,Charge Power,Discharge Power,MeterPower,SoC
2026-02-15 21:44:26 AEDT+1100,0.0,1.629,0.003,39.0
2026-02-15 21:49:25 AEDT+1100,0.0,1.64,0.006,39.0
2026-02-15 21:54:25 AEDT+1100,0.0,1.383,0.009,39.0
2026-02-15 21:59:26 AEDT+1100,0.0,1.393,-0.002,39.0
2026-02-15 22:04:25 AEDT+1100,0.0,1.391,0.002,38.0
2026-02-15 22:09:26 AEDT+1100,0.0,1.26,0.011,38.0
2026-02-15 22:14:25 AEDT+1100,0.0,1.405,0.01,38.0
2026-02-15 22:19:25 AEDT+1100,0.0,0.794,0.015,38.0
2026-02-15 22:24:26 AEDT+1100,0.0,0.678,0.013,37.0
2026-02-15 22:29:25 AEDT+1100,0.0,0.678,0.016,37.0
2026-02-15 22:34:26 AEDT+1100,0.0,0.683,0.01,37.0
2026-02-15 22:39:26 AEDT+1100,0.0,0.675,0.014,37.0
2026-02-15 22:44:26 AEDT+1100,0.0,0.405,0.01,37.0
2026-02-15 22:49:26 AEDT+1100,0.0,0.405,0.011,37.0
2026-02-15 22:54:25 AEDT+1100,0.0,0.411,0.006,37.0
2026-02-15 22:59:26 AEDT+1100,0.0,0.409,0.008,37.0
2026-02-15 23:04:26 AEDT+1100,0.0,0.677,0.008,37.0
2026-02-15 23:09:25 AEDT+1100,0.0,0.635,0.009,37.0
2026-02-15 23:14:26 AEDT+1100,0.0,2.93,0.004,36.0
2026-02-15 23:19:25 AEDT+1100,0.0,0.741,0.018,36.0
2026-02-15 23:24:27 AEDT+1100,0.0,1.374,0.017,36.0
2026-02-15 23:29:25 AEDT+1100,0.0,1.011,0.017,35.0
2026-02-15 23:34:25 AEDT+1100,0.0,1.026,0.015,35.0
2026-02-15 23:39:26 AEDT+1100,0.0,0.339,0.012,35.0
2026-02-15 23:44:25 AEDT+1100,0.0,0.336,0.002,35.0
2026-02-15 23:49:26 AEDT+1100,0.0,1.32,0.005,35.0
2026-02-15 23:54:25 AEDT+1100,0.0,0.606,0.011,35.0
2026-02-15 23:59:25 AEDT+1100,0.0,1.268,0.022,34.0
